Fulham:Brighton,Fulham,Brighton,2.22,3.45,2.85,1.5,2.42
Bournemouth:Tottenham,Bournemouth,Tottenham,2.32,3.6,2.65,1.36,2.9
Everton:Liverpool,Everton,Liverpool,6.6,4.5,1.4,1.84,1.86
Aston Villa:Southampton,Aston Villa,Southampton,1.36,5.0,6.6,1.65,2.1
Crystal Palace:Manchester City,Crystal Palace,Manchester City,5.0,4.1,1.55,1.71,2.03
Brentford:Newcastle,Brentford,Newcastle,2.7,3.55,2.27,1.48,2.46
Manchester Utd:Nottingham Forest,Manchester Utd,Nottingham Forest,1.6,3.9,4.7,1.75,1.97
Fulham:Arsenal,Fulham,Arsenal,5.0,4.1,1.55,1.77,1.94
Leicester:Brighton,Leicester,Brighton,4.3,3.8,1.68,1.56,2.27
Ipswich:Bournemouth,Ipswich,Bournemouth,3.15,3.6,2.02,1.61,2.18
Tottenham:Chelsea,Tottenham,Chelsea,2.75,3.65,2.21,1.34,3.0
West Ham:Wolverhampton,West Ham,Wolverhampton,1.87,3.65,3.55,1.55,2.31
Newcastle:Leicester,Newcastle,Leicester,1.34,5.0,7.0,1.73,1.96
Wolverhampton:Ipswich,Wolverhampton,Ipswich,1.84,3.65,3.65,1.62,2.13
Liverpool:Fulham,Liverpool,Fulham,1.31,5.2,7.2,1.67,2.04
Arsenal:Everton,Arsenal,Everton,1.23,5.4,11.0,2.2,1.57
Nottingham Forest:Aston Villa,Nottingham Forest,Aston Villa,2.49,3.3,2.6,1.61,2.14
Brighton:Crystal Palace,Brighton,Crystal Palace,1.77,3.65,3.95,1.67,2.04
Manchester City:Manchester Utd,Manchester City,Manchester Utd,1.53,4.3,4.9,1.52,2.32
Chelsea:Brentford,Chelsea,Brentford,1.4,4.8,6.0,1.55,2.26
